months_as_customer,age,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
180,38,OH,1301.13,FEMALE,College,machine-op-inspct,Single Vehicle Collision,Total Loss,Police,SC,1,0,2,46200,4200,8400,33600,Dodge,2003,Y
473,58,IN,1131.4,FEMALE,MD,transport-moving,Multi-vehicle Collision,Major Damage,Other,WV,4,0,0,63120,10520,10520,42080,Accura,1999,Y
70,26,OH,1199.44,MALE,College,machine-op-inspct,Multi-vehicle Collision,Major Damage,Other,NY,3,1,2,52110,5790,5790,40530,Nissan,2012,N
140,31,IN,708.64,MALE,High School,machine-op-inspct,Single Vehicle Collision,Total Loss,Police,WV,1,0,2,77880,14160,7080,56640,Suburu,2015,N
160,37,OH,1374.22,FEMALE,MD,craft-repair,Single Vehicle Collision,Total Loss,Other,NY,1,1,0,72930,6630,13260,53040,Accura,2015,N
196,39,IN,1475.73,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Major Damage,Police,VA,3,2,0,60400,6040,6040,48320,Nissan,2014,N
460,62,IN,1187.96,MALE,JD,other-service,Multi-vehicle Collision,Minor Damage,Police,NY,3,1,0,47160,0,5240,41920,Suburu,2011,N
217,41,IL,875.15,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Total Loss,Police,SC,3,1,2,37840,0,4730,33110,Accura,1996,N
370,55,IL,972.18,MALE,High School,prof-specialty,Multi-vehicle Collision,Major Damage,Ambulance,SC,3,0,0,71520,17880,5960,47680,Suburu,2000,Y
413,55,IN,1268.79,MALE,MD,priv-house-serv,Single Vehicle Collision,Total Loss,Ambulance,WV,1,2,2,98160,8180,16360,73620,Dodge,2011,Y
237,40,IN,883.31,MALE,College,craft-repair,Single Vehicle Collision,Minor Damage,Other,VA,1,1,3,77880,7080,14160,56640,Ford,2005,N
8,35,OH,1266.92,MALE,Masters,sales,Multi-vehicle Collision,Major Damage,Other,OH,3,1,3,71500,16500,11000,44000,Ford,2006,Y
257,43,IN,1322.1,MALE,High School,prof-specialty,Parked Car,Minor Damage,Police,PA,1,1,3,9020,1640,820,6560,Toyota,2005,N
202,34,IN,848.07,MALE,JD,exec-managerial,Vehicle Theft,Minor Damage,None,VA,1,2,1,5720,1040,520,4160,Suburu,2003,Y
224,40,OH,1291.7,FEMALE,JD,sales,Single Vehicle Collision,Minor Damage,Other,SC,1,1,0,69840,7760,15520,46560,Dodge,2009,N
241,45,IL,1104.5,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Minor Damage,Police,SC,1,2,2,91650,14100,14100,63450,Accura,2011,N
64,25,IL,954.16,MALE,Masters,prof-specialty,Multi-vehicle Collision,Major Damage,Ambulance,SC,4,0,0,75600,12600,12600,50400,Toyota,2005,N
166,37,IL,1337.28,MALE,JD,craft-repair,Multi-vehicle Collision,Major Damage,Police,WV,3,2,2,67140,7460,7460,52220,Ford,2006,Y
155,35,IL,1088.34,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Total Loss,Police,NY,3,2,3,29790,3310,3310,23170,BMW,2008,N
114,30,IL,1558.29,MALE,High School,farming-fishing,Multi-vehicle Collision,Major Damage,Ambulance,NY,3,1,2,77110,14020,14020,49070,Suburu,2015,N
149,37,IL,1415.68,MALE,PhD,prof-specialty,Single Vehicle Collision,Total Loss,Fire,WV,1,0,1,64800,10800,5400,48600,Audi,1999,N
147,33,OH,1334.15,MALE,High School,craft-repair,Single Vehicle Collision,Major Damage,Other,WV,1,2,0,53100,10620,5310,37170,Mercedes,1995,Y
62,28,IL,988.45,FEMALE,Masters,protective-serv,Single Vehicle Collision,Total Loss,Police,NY,1,1,1,60200,6020,6020,48160,Suburu,2004,Y
289,49,IL,1222.48,FEMALE,JD,priv-house-serv,Parked Car,Minor Damage,None,WV,1,1,1,5330,1230,820,3280,Suburu,2001,N
431,54,IN,1155.55,FEMALE,MD,craft-repair,Multi-vehicle Collision,Major Damage,Police,NY,3,2,0,62300,12460,6230,43610,Jeep,2007,N
199,37,IN,1262.08,MALE,JD,tech-support,Single Vehicle Collision,Major Damage,Ambulance,NC,1,0,3,60170,10940,10940,38290,Nissan,2011,Y
79,26,IL,1451.62,MALE,Associate,tech-support,Single Vehicle Collision,Minor Damage,Ambulance,WV,1,2,2,40000,8000,4000,28000,BMW,2010,N
116,34,IN,1737.66,MALE,Associate,transport-moving,Single Vehicle Collision,Major Damage,Police,WV,1,1,1,97080,16180,16180,64720,BMW,2001,Y
37,23,IL,1475.93,FEMALE,College,prof-specialty,Multi-vehicle Collision,Minor Damage,Other,SC,3,1,0,51660,5740,5740,40180,Dodge,2010,N
106,30,OH,538.17,FEMALE,PhD,transport-moving,Single Vehicle Collision,Total Loss,Other,NC,1,2,2,51120,5680,5680,39760,Mercedes,2005,N
269,44,IL,1081.08,MALE,JD,priv-house-serv,Single Vehicle Collision,Minor Damage,Other,SC,1,0,2,56400,11280,11280,33840,Toyota,2014,N
265,40,IL,1454.43,FEMALE,MD,protective-serv,Multi-vehicle Collision,Total Loss,Other,NY,3,2,3,55120,6890,0,48230,Accura,2002,N
163,33,IN,1240.47,FEMALE,Associate,other-service,Multi-vehicle Collision,Total Loss,Fire,NC,3,1,1,77110,0,14020,63090,Honda,2014,N
355,47,OH,1273.7,MALE,College,other-service,Multi-vehicle Collision,Major Damage,Fire,WV,3,2,1,62800,6280,6280,50240,Audi,2003,Y
175,34,IN,1123.87,FEMALE,PhD,protective-serv,Vehicle Theft,Trivial Damage,Police,NY,1,2,0,7290,810,810,5670,Volkswagen,1995,N
192,35,IL,1245.89,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Total Loss,Other,WV,1,0,0,76600,15320,7660,53620,Mercedes,2000,N
430,59,OH,1326.62,MALE,MD,other-service,Multi-vehicle Collision,Minor Damage,Fire,NY,3,0,3,81800,16360,8180,57260,Nissan,1998,N
91,27,IL,1073.83,FEMALE,JD,farming-fishing,Vehicle Theft,Trivial Damage,None,NY,1,1,2,7260,1320,660,5280,BMW,2008,N
217,39,IN,1530.52,MALE,College,armed-forces,Vehicle Theft,Minor Damage,None,WV,1,2,1,4300,430,430,3440,Toyota,2000,N
223,40,IN,1201.41,FEMALE,JD,priv-house-serv,Multi-vehicle Collision,Major Damage,Police,NC,3,1,0,70510,12820,12820,44870,Suburu,1999,N
195,39,OH,1393.57,MALE,PhD,machine-op-inspct,Parked Car,Minor Damage,Police,VA,1,0,1,2640,480,480,1680,Ford,2009,N
22,26,OH,1276.57,MALE,PhD,craft-repair,Single Vehicle Collision,Minor Damage,Fire,NY,1,1,2,78900,15780,7890,55230,Chevrolet,1995,N
439,56,IN,1082.49,FEMALE,PhD,prof-specialty,Multi-vehicle Collision,Major Damage,Fire,SC,3,2,3,56430,0,6270,50160,Honda,2014,N
94,32,IN,1414.74,FEMALE,Masters,adm-clerical,Parked Car,Minor Damage,None,VA,1,1,3,2400,300,300,1800,Chevrolet,2014,N
11,39,IL,1470.06,MALE,PhD,other-service,Single Vehicle Collision,Total Loss,Ambulance,WV,1,0,1,65790,7310,7310,51170,Saab,2007,N
151,36,OH,870.63,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Minor Damage,Police,VA,3,1,1,62920,11440,5720,45760,Ford,2000,N
154,34,IN,795.23,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Major Damage,Police,NY,3,2,1,69480,15440,0,54040,Nissan,2014,Y
245,44,IL,1168.2,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Total Loss,Other,OH,3,0,3,44280,7380,3690,33210,Honda,1997,N
119,32,IL,993.51,MALE,High School,armed-forces,Single Vehicle Collision,Minor Damage,Other,WV,1,0,3,56300,5630,11260,39410,BMW,2011,N
215,42,OH,1848.81,MALE,JD,transport-moving,Multi-vehicle Collision,Major Damage,Fire,WV,3,2,2,68520,11420,5710,51390,Suburu,2003,Y
295,42,OH,1641.73,MALE,PhD,sales,Multi-vehicle Collision,Total Loss,Fire,VA,3,0,0,59130,6570,6570,45990,Ford,2006,Y
254,39,IN,1362.87,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,2,2,82320,13720,6860,61740,Dodge,1995,Y
107,31,IN,1239.22,FEMALE,High School,tech-support,Single Vehicle Collision,Minor Damage,Fire,SC,1,0,1,89700,13800,13800,62100,Audi,2009,Y
478,64,OH,835.02,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Minor Damage,Fire,WV,3,1,1,33930,0,3770,30160,BMW,1998,N
128,30,OH,1061.33,MALE,MD,machine-op-inspct,Single Vehicle Collision,Major Damage,Ambulance,WV,1,0,3,68530,12460,6230,49840,Audi,1997,N
338,49,IN,1279.08,MALE,MD,other-service,Parked Car,Minor Damage,None,NC,1,0,1,4300,860,860,2580,Ford,2004,N
271,42,OH,1105.49,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Major Damage,Other,SC,2,2,3,68310,12420,6210,49680,Audi,2003,Y
222,41,OH,1055.53,FEMALE,MD,armed-forces,Single Vehicle Collision,Total Loss,Other,WV,1,0,2,61290,6810,6810,47670,Honda,1995,Y
199,41,OH,895.83,FEMALE,Associate,sales,Single Vehicle Collision,Minor Damage,Ambulance,NC,1,1,2,30100,3010,0,27090,Chevrolet,1999,N
215,37,IN,1632.93,FEMALE,College,transport-moving,Multi-vehicle Collision,Minor Damage,Fire,SC,3,2,0,57120,9520,4760,42840,Mercedes,2002,N
192,40,IL,1405.99,FEMALE,Associate,sales,Multi-vehicle Collision,Minor Damage,Ambulance,VA,3,1,0,42930,9540,4770,28620,BMW,2005,N
120,35,OH,1425.54,FEMALE,High School,transport-moving,Multi-vehicle Collision,Total Loss,Ambulance,SC,3,2,0,51210,11380,5690,34140,Ford,2010,N
270,45,OH,1038.09,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Minor Damage,Fire,NY,3,1,1,89400,14900,7450,67050,Suburu,1998,N
319,47,IN,1307.11,MALE,College,transport-moving,Multi-vehicle Collision,Total Loss,Police,WV,3,0,2,59730,10860,10860,38010,Audi,2005,N
194,39,OH,1489.24,FEMALE,JD,other-service,Vehicle Theft,Minor Damage,None,SC,1,2,2,8060,1240,1240,5580,Saab,2004,N
227,38,OH,976.67,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Major Damage,Fire,SC,1,1,2,72200,14440,7220,50540,BMW,2013,Y
137,31,OH,1340.43,MALE,High School,exec-managerial,Multi-vehicle Collision,Minor Damage,Ambulance,NC,3,1,2,50800,10160,10160,30480,Accura,2005,N
244,40,OH,1267.81,FEMALE,Masters,exec-managerial,Vehicle Theft,Trivial Damage,None,NC,1,2,1,6600,660,1320,4620,Accura,2005,N
78,29,IL,1234.2,MALE,Masters,other-service,Vehicle Theft,Minor Damage,Police,NY,1,2,2,7500,750,1500,5250,Nissan,2002,N
200,35,IN,1318.06,MALE,High School,exec-managerial,Vehicle Theft,Trivial Damage,None,VA,1,0,3,6490,1180,1180,4130,Volkswagen,2002,N
284,48,IN,769.95,MALE,Masters,prof-specialty,Multi-vehicle Collision,Major Damage,Ambulance,NY,2,2,3,60940,5540,11080,44320,Audi,2013,Y
275,41,OH,1514.72,MALE,High School,transport-moving,Multi-vehicle Collision,Major Damage,Fire,NY,3,0,1,58300,5830,11660,40810,Suburu,2007,N
153,34,IL,873.64,FEMALE,Associate,priv-house-serv,Multi-vehicle Collision,Minor Damage,Other,SC,3,2,1,68400,11400,11400,45600,Ford,2007,N
134,32,IL,1612.43,FEMALE,MD,other-service,Single Vehicle Collision,Total Loss,Fire,VA,1,2,1,64240,11680,11680,40880,BMW,2015,N
31,36,IL,1318.24,FEMALE,College,prof-specialty,Parked Car,Trivial Damage,None,WV,1,0,1,4700,940,470,3290,Dodge,2002,N
41,25,IN,1226.83,FEMALE,College,exec-managerial,Multi-vehicle Collision,Major Damage,Other,SC,3,2,0,45120,0,5640,39480,Accura,2011,Y
127,29,OH,1326.44,FEMALE,High School,sales,Multi-vehicle Collision,Total Loss,Fire,SC,2,1,1,66950,10300,10300,46350,Saab,1995,N
61,23,IL,1136.83,FEMALE,Associate,tech-support,Single Vehicle Collision,Major Damage,Police,NY,1,0,3,98340,8940,17880,71520,Honda,2004,Y
207,42,IL,1322.78,MALE,PhD,farming-fishing,Parked Car,Trivial Damage,None,WV,1,0,1,5900,590,590,4720,BMW,2007,N
219,43,IN,1483.25,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Major Damage,Ambulance,NC,3,1,1,70680,5890,11780,53010,Ford,2009,N
271,42,IL,1515.3,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Total Loss,Ambulance,SC,3,1,0,93720,17040,8520,68160,Mercedes,2005,N
80,25,IL,1075.18,FEMALE,PhD,armed-forces,Vehicle Theft,Minor Damage,None,OH,1,2,0,6930,1260,630,5040,Toyota,2001,N
325,47,IN,1690.27,FEMALE,Associate,protective-serv,Single Vehicle Collision,Major Damage,Fire,VA,1,0,3,72930,6630,6630,59670,Dodge,2006,Y
29,25,IL,1352.83,MALE,Masters,farming-fishing,Multi-vehicle Collision,Minor Damage,Other,SC,4,1,2,64890,7210,7210,50470,Nissan,2013,Y
295,48,OH,1148.73,FEMALE,College,machine-op-inspct,Parked Car,Trivial Damage,None,WV,1,1,2,5400,900,900,3600,Saab,1999,N
239,42,IL,969.5,MALE,College,exec-managerial,Vehicle Theft,Trivial Damage,None,NC,1,0,0,5600,700,700,4200,Audi,2007,N
269,41,IN,1463.82,FEMALE,College,protective-serv,Single Vehicle Collision,Minor Damage,Police,SC,1,0,0,79300,15860,15860,47580,Saab,2007,N
80,27,IL,1474.17,FEMALE,College,tech-support,Single Vehicle Collision,Major Damage,Police,WV,1,1,0,52800,10560,5280,36960,Saab,2004,N
279,41,IL,1497.35,FEMALE,JD,prof-specialty,Multi-vehicle Collision,Minor Damage,Fire,NC,3,2,3,28800,0,3600,25200,Ford,2013,N
165,33,OH,1427.14,FEMALE,Associate,tech-support,Parked Car,Minor Damage,Police,WV,1,1,1,2970,330,330,2310,Toyota,2008,N
350,54,OH,1495.1,MALE,College,other-service,Multi-vehicle Collision,Total Loss,Police,SC,3,0,0,93480,15580,7790,70110,Chevrolet,2014,N
295,49,IL,1141.62,MALE,College,prof-specialty,Vehicle Theft,Minor Damage,None,WV,1,1,3,4320,480,480,3360,Mercedes,2002,N
464,61,OH,1125.37,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Major Damage,Police,VA,3,0,2,79800,6650,19950,53200,Saab,2000,Y
118,28,IN,1207.36,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Major Damage,Ambulance,WV,2,1,0,74200,7420,14840,51940,Volkswagen,1997,N
298,47,IL,1338.5,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Major Damage,Fire,NY,1,0,0,70590,10860,10860,48870,Saab,2000,Y
87,31,IN,1074.07,FEMALE,Masters,sales,Multi-vehicle Collision,Major Damage,Fire,NY,3,0,3,60940,5540,11080,44320,Nissan,2006,Y
261,42,OH,1337.56,FEMALE,College,prof-specialty,Single Vehicle Collision,Minor Damage,Police,SC,1,1,2,74700,7470,14940,52290,Dodge,2010,N
453,60,IN,1298.91,MALE,PhD,craft-repair,Single Vehicle Collision,Major Damage,Fire,NC,1,0,0,70000,14000,7000,49000,Ford,2015,Y
210,41,IL,1222.75,MALE,High School,exec-managerial,Multi-vehicle Collision,Total Loss,Other,WV,3,2,0,81070,14740,14740,51590,BMW,2001,N
168,32,IN,1059.52,MALE,MD,protective-serv,Multi-vehicle Collision,Major Damage,Other,VA,2,1,1,57720,14430,9620,33670,Saab,2007,N
390,51,OH,1124.38,MALE,Associate,armed-forces,Vehicle Theft,Minor Damage,None,VA,1,1,1,7080,1180,1180,4720,Ford,2001,N
258,46,IN,1110.37,MALE,MD,machine-op-inspct,Multi-vehicle Collision,Total Loss,Other,NY,3,0,1,47700,4770,9540,33390,Accura,1997,Y
107,31,IL,1374.22,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Minor Damage,Police,SC,1,0,3,51260,9320,9320,32620,Suburu,2002,N
225,41,OH,1103.58,MALE,High School,exec-managerial,Multi-vehicle Collision,Major Damage,Police,NY,3,2,2,70400,6400,12800,51200,Toyota,2011,Y
164,38,IL,1269.76,FEMALE,PhD,transport-moving,Single Vehicle Collision,Minor Damage,Fire,NY,1,1,3,90000,18000,9000,63000,Ford,2015,N
245,39,OH,964.79,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,1,72820,13240,6620,52960,BMW,2010,N
255,41,IL,1167.3,MALE,High School,priv-house-serv,Single Vehicle Collision,Minor Damage,Fire,SC,1,2,0,69300,13860,13860,41580,Volkswagen,2000,N
206,36,IL,1625.45,FEMALE,MD,other-service,Single Vehicle Collision,Major Damage,Ambulance,NY,1,2,1,76560,12760,12760,51040,Ford,2008,Y
203,38,IL,1394.43,FEMALE,Masters,other-service,Single Vehicle Collision,Major Damage,Ambulance,VA,1,0,1,55440,0,6160,49280,Nissan,1999,Y
22,25,OH,1053.24,FEMALE,College,prof-specialty,Multi-vehicle Collision,Total Loss,Other,NC,4,1,0,77130,8570,17140,51420,Accura,1995,N
211,35,IL,1040.75,FEMALE,JD,prof-specialty,Single Vehicle Collision,Total Loss,Ambulance,WV,1,1,1,42000,7000,7000,28000,BMW,2011,N
206,39,IN,1302.4,MALE,JD,craft-repair,Multi-vehicle Collision,Total Loss,Ambulance,NY,3,2,3,36300,3300,9900,23100,Ford,2013,N
166,38,IL,1588.55,MALE,MD,protective-serv,Single Vehicle Collision,Total Loss,Other,WV,1,0,0,40320,5760,5760,28800,Suburu,2001,N
165,32,IN,1399.26,FEMALE,High School,tech-support,Parked Car,Minor Damage,Police,PA,1,2,0,3960,330,660,2970,BMW,1998,N
274,43,OH,1352.31,MALE,College,farming-fishing,Single Vehicle Collision,Major Damage,Fire,NY,1,0,3,63840,10640,10640,42560,BMW,2006,Y
81,28,IL,1139,FEMALE,Masters,sales,Multi-vehicle Collision,Major Damage,Fire,SC,3,1,2,44730,4970,4970,34790,Saab,2000,Y
280,45,IN,1397.67,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Minor Damage,Other,NY,3,1,2,84720,14120,14120,56480,Ford,1999,N
194,39,IN,823.17,MALE,Masters,adm-clerical,Multi-vehicle Collision,Major Damage,Other,WV,3,2,2,61500,6150,12300,43050,Dodge,2012,N
112,27,OH,965.13,FEMALE,Masters,tech-support,Multi-vehicle Collision,Major Damage,Ambulance,NC,3,0,1,51000,8500,8500,34000,Nissan,2013,N
24,33,IL,1922.84,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Total Loss,Police,WV,1,2,1,46800,4680,9360,32760,Jeep,2002,N
93,32,OH,1624.82,MALE,PhD,exec-managerial,Single Vehicle Collision,Minor Damage,Ambulance,WV,1,1,1,78120,17360,8680,52080,BMW,2006,N
171,34,IN,1277.25,FEMALE,College,exec-managerial,Single Vehicle Collision,Major Damage,Police,NY,1,1,2,69200,13840,6920,48440,Volkswagen,1996,Y
200,40,IL,1439.34,FEMALE,High School,sales,Vehicle Theft,Minor Damage,Police,VA,1,0,0,3690,410,410,2870,Ford,2015,N
120,28,IL,1281.27,FEMALE,PhD,tech-support,Multi-vehicle Collision,Minor Damage,Fire,SC,3,0,3,65500,6550,6550,52400,BMW,2010,N
325,46,IL,1348.83,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Minor Damage,Fire,NC,3,1,2,76120,13840,6920,55360,Toyota,1999,N
124,32,IL,1198.15,FEMALE,MD,other-service,Multi-vehicle Collision,Total Loss,Other,VA,3,0,2,73560,12260,12260,49040,BMW,1995,N
211,35,OH,1221.22,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Total Loss,Police,NY,1,0,1,52030,9460,4730,37840,Mercedes,2008,N
287,41,IL,968.74,MALE,Masters,transport-moving,Vehicle Theft,Trivial Damage,None,SC,1,2,3,5170,470,940,3760,Suburu,2001,N
122,34,IN,1220.71,MALE,PhD,machine-op-inspct,Parked Car,Minor Damage,None,SC,1,2,1,8190,1890,1260,5040,Chevrolet,2013,N
22,29,IN,1238.62,MALE,MD,exec-managerial,Single Vehicle Collision,Major Damage,Ambulance,SC,1,2,3,70800,7080,14160,49560,Accura,2012,Y
106,31,IL,1320.75,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Total Loss,Police,WV,3,0,3,45630,5070,5070,35490,Accura,2011,N
398,58,OH,990.98,FEMALE,Associate,exec-managerial,Single Vehicle Collision,Major Damage,Police,NC,1,2,1,99320,7640,15280,76400,Accura,2002,Y
214,41,IL,1398.51,MALE,Masters,tech-support,Multi-vehicle Collision,Major Damage,Fire,NC,3,2,0,64000,12800,6400,44800,BMW,1996,Y
209,38,OH,1355.08,FEMALE,MD,other-service,Single Vehicle Collision,Minor Damage,Fire,WV,1,1,1,47300,4730,4730,37840,Nissan,2014,N
82,27,IL,1384.51,MALE,PhD,adm-clerical,Single Vehicle Collision,Major Damage,Other,SC,1,2,3,71680,8960,8960,53760,Volkswagen,2007,Y
193,41,OH,847.03,FEMALE,JD,craft-repair,Single Vehicle Collision,Major Damage,Other,SC,1,1,0,112320,17280,17280,77760,Suburu,2011,Y
134,32,OH,1000.06,FEMALE,PhD,farming-fishing,Single Vehicle Collision,Total Loss,Other,NY,1,1,0,82720,7520,15040,60160,Audi,2014,N
288,45,IL,1046.71,MALE,Masters,priv-house-serv,Multi-vehicle Collision,Major Damage,Fire,NC,3,2,1,48060,10680,5340,32040,Mercedes,2009,N
104,32,IN,1158.03,MALE,High School,exec-managerial,Multi-vehicle Collision,Total Loss,Police,NY,3,1,3,63570,9780,9780,44010,Volkswagen,2006,Y
431,54,OH,1372.27,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Total Loss,Fire,WV,3,2,3,63240,10540,10540,42160,Suburu,1997,N
101,33,OH,1053.04,FEMALE,Masters,other-service,Multi-vehicle Collision,Minor Damage,Ambulance,NC,3,1,3,54240,9040,9040,36160,Saab,2013,Y
375,50,OH,1275.39,MALE,Associate,sales,Single Vehicle Collision,Major Damage,Police,NY,1,2,3,37280,0,0,37280,Audi,1996,Y
461,61,OH,1402.75,MALE,JD,exec-managerial,Multi-vehicle Collision,Minor Damage,Police,NY,3,2,1,72100,7210,14420,50470,Jeep,2006,N
428,59,IN,1344.36,FEMALE,JD,prof-specialty,Parked Car,Minor Damage,None,WV,1,2,3,6500,1300,650,4550,Saab,2013,N
45,38,IN,1197.71,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Total Loss,Ambulance,WV,3,2,0,78240,13040,13040,52160,Suburu,2013,N
136,29,OH,1203.24,FEMALE,JD,transport-moving,Vehicle Theft,Minor Damage,Police,NY,1,2,0,6200,1240,620,4340,Honda,1999,N
216,36,IN,1152.4,FEMALE,Associate,priv-house-serv,Parked Car,Minor Damage,Police,VA,1,2,3,6160,560,1680,3920,Mercedes,2014,N
278,48,IN,1142.62,FEMALE,MD,farming-fishing,Single Vehicle Collision,Total Loss,Ambulance,SC,1,2,0,76050,11700,11700,52650,Chevrolet,1997,N
295,48,OH,1332.07,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Total Loss,Ambulance,NY,2,2,1,86060,13240,13240,59580,Volkswagen,2002,N
112,30,OH,1166.54,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Major Damage,Fire,SC,1,2,0,107900,10790,21580,75530,Dodge,1997,Y
122,34,IL,1495.06,FEMALE,Masters,prof-specialty,Multi-vehicle Collision,Total Loss,Fire,PA,3,2,0,99990,18180,18180,63630,Mercedes,2011,N
108,29,IN,1337.92,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Minor Damage,Ambulance,WV,3,2,2,61380,11160,5580,44640,Suburu,2012,N
14,28,OH,1587.96,FEMALE,Associate,craft-repair,Single Vehicle Collision,Major Damage,Fire,WV,1,2,1,71280,12960,12960,45360,Audi,2012,Y
298,45,IL,1362.29,MALE,High School,farming-fishing,Multi-vehicle Collision,Minor Damage,Ambulance,NY,3,0,0,64000,12800,6400,44800,Saab,1999,N
276,46,IL,1448.84,FEMALE,Masters,machine-op-inspct,Parked Car,Trivial Damage,Police,SC,1,0,1,5940,660,660,4620,Toyota,2015,N
47,37,IN,1241.97,MALE,High School,other-service,Parked Car,Minor Damage,None,NY,1,1,0,6700,670,670,5360,Jeep,2011,N
222,42,IL,1124.6,MALE,Associate,armed-forces,Multi-vehicle Collision,Minor Damage,Police,NY,3,0,0,51740,11940,7960,31840,Jeep,2006,N
119,28,OH,1079.92,MALE,High School,machine-op-inspct,Single Vehicle Collision,Total Loss,Ambulance,PA,1,0,1,53600,6700,6700,40200,Volkswagen,2007,Y
73,29,IL,1447.78,MALE,College,protective-serv,Multi-vehicle Collision,Total Loss,Other,SC,3,1,0,44910,4990,4990,34930,Dodge,2001,N
8,31,IN,1229.16,FEMALE,MD,transport-moving,Multi-vehicle Collision,Major Damage,Fire,PA,3,0,2,48100,11100,7400,29600,Volkswagen,2014,N
294,44,IL,1226.49,FEMALE,PhD,farming-fishing,Vehicle Theft,Trivial Damage,None,WV,1,0,1,6100,610,1220,4270,Ford,2002,N
